"Family","Species","species","k_m","k_sd","Qc_m","Qc_sd","Qn_m","Qn_sd","Qp_m","Qp_sd","Dc_m","Dc_sd","Dn_m","Dn_sd","Dp_m","Dp_sd","trophic_guild_predicted","alpha_m","alpha_sd","f0_m","f0_sd","theta_m","lwa_m","lwa_sd","lwb_m","lwb_sd","h_m","r_m","v_m","linf_m","F0nz_m","F0nz_sd","F0pz_m","F0pz_sd","ac_m","an_m","ap_m"
"Pomacentridae","Abudefduf saxatilis","Abudefduf_saxatilis",0.308593447869247,0.0481267284991659,34.3703315739309,0.388361943462794,9.24142265708951,0.111864525196267,5.23668937166486,0.100841026128608,38.0194598924275,1.39807591061026,6.96561393264182,0.362552863301189,0.926885256807045,0.109148931075899,8,0.761853240969385,0.0206699008436752,0.00209745511872733,0.000103233936410007,1.47519696390573,0.01862,0.00562244897959184,3.05,0.0663265306122451,3.29,1.53883,23,22.89999962,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf saxatilis","Abudefduf_saxatilis",0.315180480311136,0.048429319243894,34.3703315739309,0.388361943462794,9.24142265708951,0.111864525196267,5.23668937166486,0.100841026128608,38.0194598924275,1.39807591061026,6.96561393264182,0.362552863301189,0.926885256807045,0.109148931075899,8,0.761853240969385,0.0206699008436752,0.0022671031058435,0.000103233936410007,1.47519696390573,0.01862,0.00562244897959184,3.05,0.0663265306122451,3.29,1.53883,24,22.89999962,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf saxatilis","Abudefduf_saxatilis",0.321959785000751,0.0490606072628788,34.3703315739309,0.388361943462794,9.24142265708951,0.111864525196267,5.23668937166486,0.100841026128608,38.0194598924275,1.39807591061026,6.96561393264182,0.362552863301189,0.926885256807045,0.109148931075899,8,0.761853240969385,0.0206699008436752,0.00244919452144219,0.000103233936410007,1.47519696390573,0.01862,0.00562244897959184,3.05,0.0663265306122451,3.29,1.53883,25,22.89999962,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf saxatilis","Abudefduf_saxatilis",0.328937825757583,0.0500523664740885,34.3703315739309,0.388361943462794,9.24142265708951,0.111864525196267,5.23668937166486,0.100841026128608,38.0194598924275,1.39807591061026,6.96561393264182,0.362552863301189,0.926885256807045,0.109148931075899,8,0.761853240969385,0.0206699008436752,0.00264454505871424,0.000103233936410007,1.47519696390573,0.01862,0.00562244897959184,3.05,0.0663265306122451,3.29,1.53883,26,22.89999962,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf saxatilis","Abudefduf_saxatilis",0.336121310255762,0.0514316854688795,34.3703315739309,0.388361943462794,9.24142265708951,0.111864525196267,5.23668937166486,0.100841026128608,38.0194598924275,1.39807591061026,6.96561393264182,0.362552863301189,0.926885256807045,0.109148931075899,8,0.761853240969385,0.0206699008436752,0.0028540172209732,0.000103233936410007,1.47519696390573,0.01862,0.00562244897959184,3.05,0.0663265306122451,3.29,1.53883,27,22.89999962,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf saxatilis","Abudefduf_saxatilis",0.34351720008627,0.0532200291390233,34.3703315739309,0.388361943462794,9.24142265708951,0.111864525196267,5.23668937166486,0.100841026128608,38.0194598924275,1.39807591061026,6.96561393264182,0.362552863301189,0.926885256807045,0.109148931075899,8,0.761853240969385,0.0206699008436752,0.00307852260006619,0.000103233936410007,1.47519696390573,0.01862,0.00562244897959184,3.05,0.0663265306122451,3.29,1.53883,28,22.89999962,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf septemfasciatus","Abudefduf_septemfasciatus",0.374336736924918,0.0874357914703098,37.0162616545118,0.657819633910526,10.1493483085038,0.188226146062923,4.20737326436314,0.17469073673678,34.3644938498951,2.09008808955406,6.27556410080716,0.428325004445109,0.890089711150112,0.12288633483202,8,0.761853240969385,0.0206699008436752,0.00264454505871424,0.000103233936410007,1.47519696390573,0.02455,0.016469387755102,3,0.0918367346938776,3.01,2.33734,26,23,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf septemfasciatus","Abudefduf_septemfasciatus",0.382465488408068,0.089317379059025,37.0162616545118,0.657819633910526,10.1493483085038,0.188226146062923,4.20737326436314,0.17469073673678,34.3644938498951,2.09008808955406,6.27556410080716,0.428325004445109,0.890089711150112,0.12288633483202,8,0.761853240969385,0.0206699008436752,0.0028540172209732,0.000103233936410007,1.47519696390573,0.02455,0.016469387755102,3,0.0918367346938776,3.01,2.33734,27,23,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf septemfasciatus","Abudefduf_septemfasciatus",0.390833407710531,0.0915314138652303,37.0162616545118,0.657819633910526,10.1493483085038,0.188226146062923,4.20737326436314,0.17469073673678,34.3644938498951,2.09008808955406,6.27556410080716,0.428325004445109,0.890089711150112,0.12288633483202,8,0.761853240969385,0.0206699008436752,0.00307852260006619,0.000103233936410007,1.47519696390573,0.02455,0.016469387755102,3,0.0918367346938776,3.01,2.33734,28,23,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf septemfasciatus","Abudefduf_septemfasciatus",0.408319389699648,0.0970338931334172,37.0162616545118,0.657819633910526,10.1493483085038,0.188226146062923,4.20737326436314,0.17469073673678,34.3644938498951,2.09008808955406,6.27556410080716,0.428325004445109,0.890089711150112,0.12288633483202,8,0.761853240969385,0.0206699008436752,0.0035765391148837,0.000103233936410007,1.47519696390573,0.02455,0.016469387755102,3,0.0918367346938776,3.01,2.33734,30,23,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf sexfasciatus","Abudefduf_sexfasciatus",0.475482592680087,0.163639089221149,34.0432940577063,0.325975643244705,9.16906870335714,0.0962769224071539,5.32191493053092,0.0862117614795844,38.9969513186247,2.02674601827097,7.34913335716958,0.53456999164486,0.909286732942355,0.160073644634965,8,0.761853240969385,0.0206699008436752,0.00179244764095022,0.000103233936410007,1.47519696390573,0.02344,0.00841326530612245,3.05,0.0714285714285715,2.7,2.45467,21,16,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf sexfasciatus","Abudefduf_sexfasciatus",0.505998558066967,0.170511742958515,34.0432940577063,0.325975643244705,9.16906870335714,0.0962769224071539,5.32191493053092,0.0862117614795844,38.9969513186247,2.02674601827097,7.34913335716958,0.53456999164486,0.909286732942355,0.160073644634965,8,0.761853240969385,0.0206699008436752,0.0022671031058435,0.000103233936410007,1.47519696390573,0.02344,0.00841326530612245,3.05,0.0714285714285715,2.7,2.45467,24,16,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf sexfasciatus","Abudefduf_sexfasciatus",0.516762949760113,0.173412711796228,34.0432940577063,0.325975643244705,9.16906870335714,0.0962769224071539,5.32191493053092,0.0862117614795844,38.9969513186247,2.02674601827097,7.34913335716958,0.53456999164486,0.909286732942355,0.160073644634965,8,0.761853240969385,0.0206699008436752,0.00244919452144219,0.000103233936410007,1.47519696390573,0.02344,0.00841326530612245,3.05,0.0714285714285715,2.7,2.45467,25,16,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf sexfasciatus","Abudefduf_sexfasciatus",0.527840012480273,0.176655506844702,34.0432940577063,0.325975643244705,9.16906870335714,0.0962769224071539,5.32191493053092,0.0862117614795844,38.9969513186247,2.02674601827097,7.34913335716958,0.53456999164486,0.909286732942355,0.160073644634965,8,0.761853240969385,0.0206699008436752,0.00264454505871424,0.000103233936410007,1.47519696390573,0.02344,0.00841326530612245,3.05,0.0714285714285715,2.7,2.45467,26,16,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf sexfasciatus","Abudefduf_sexfasciatus",0.5392401807051,0.180262788411389,34.0432940577063,0.325975643244705,9.16906870335714,0.0962769224071539,5.32191493053092,0.0862117614795844,38.9969513186247,2.02674601827097,7.34913335716958,0.53456999164486,0.909286732942355,0.160073644634965,8,0.761853240969385,0.0206699008436752,0.0028540172209732,0.000103233936410007,1.47519696390573,0.02344,0.00841326530612245,3.05,0.0714285714285715,2.7,2.45467,27,16,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf sexfasciatus","Abudefduf_sexfasciatus",0.550974278442071,0.184257482989743,34.0432940577063,0.325975643244705,9.16906870335714,0.0962769224071539,5.32191493053092,0.0862117614795844,38.9969513186247,2.02674601827097,7.34913335716958,0.53456999164486,0.909286732942355,0.160073644634965,8,0.761853240969385,0.0206699008436752,0.00307852260006619,0.000103233936410007,1.47519696390573,0.02344,0.00841326530612245,3.05,0.0714285714285715,2.7,2.45467,28,16,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf sexfasciatus","Abudefduf_sexfasciatus",0.563053535084817,0.188662706666402,34.0432940577063,0.325975643244705,9.16906870335714,0.0962769224071539,5.32191493053092,0.0862117614795844,38.9969513186247,2.02674601827097,7.34913335716958,0.53456999164486,0.909286732942355,0.160073644634965,8,0.761853240969385,0.0206699008436752,0.00331902424380386,0.000103233936410007,1.47519696390573,0.02344,0.00841326530612245,3.05,0.0714285714285715,2.7,2.45467,29,16,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf sordidus","Abudefduf_sordidus",0.335919717057176,0.0807005273711204,36.9489520803918,0.664613958711358,10.1381053719133,0.189857514936187,4.22893086622716,0.176280300656257,30.8995391028111,2.77149153257076,5.30586215255889,0.460345142930465,0.824774073802599,0.125726247322956,5,0.761853240969385,0.0206699008436752,0.00179244764095022,0.000103233936410007,1.47519696390573,0.0263,0.0108214285714286,3.05,0.0765306122448981,3.06,1.93519,21,23,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf sordidus","Abudefduf_sordidus",0.365257227157025,0.0841929052290227,36.9489520803918,0.664613958711358,10.1381053719133,0.189857514936187,4.22893086622716,0.176280300656257,30.8995391028111,2.77149153257076,5.30586215255889,0.460345142930465,0.824774073802599,0.125726247322956,5,0.761853240969385,0.0206699008436752,0.00244919452144219,0.000103233936410007,1.47519696390573,0.0263,0.0108214285714286,3.05,0.0765306122448981,3.06,1.93519,25,23,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf sordidus","Abudefduf_sordidus",0.373132066531399,0.0857409080870651,36.9489520803918,0.664613958711358,10.1381053719133,0.189857514936187,4.22893086622716,0.176280300656257,30.8995391028111,2.77149153257076,5.30586215255889,0.460345142930465,0.824774073802599,0.125726247322956,5,0.761853240969385,0.0206699008436752,0.00264454505871424,0.000103233936410007,1.47519696390573,0.0263,0.0108214285714286,3.05,0.0765306122448981,3.06,1.93519,26,23,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf sordidus","Abudefduf_sordidus",0.381237671819803,0.0876032903578017,36.9489520803918,0.664613958711358,10.1381053719133,0.189857514936187,4.22893086622716,0.176280300656257,30.8995391028111,2.77149153257076,5.30586215255889,0.460345142930465,0.824774073802599,0.125726247322956,5,0.761853240969385,0.0206699008436752,0.0028540172209732,0.000103233936410007,1.47519696390573,0.0263,0.0108214285714286,3.05,0.0765306122448981,3.06,1.93519,27,23,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf sordidus","Abudefduf_sordidus",0.389581814576378,0.0898008427585155,36.9489520803918,0.664613958711358,10.1381053719133,0.189857514936187,4.22893086622716,0.176280300656257,30.8995391028111,2.77149153257076,5.30586215255889,0.460345142930465,0.824774073802599,0.125726247322956,5,0.761853240969385,0.0206699008436752,0.00307852260006619,0.000103233936410007,1.47519696390573,0.0263,0.0108214285714286,3.05,0.0765306122448981,3.06,1.93519,28,23,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf sparoides","Abudefduf_sparoides",0.485003061413336,0.100120179847247,36.1079950460189,0.557677731206195,9.81894663137705,0.158552669242582,4.57595534890102,0.147983098871779,38.6368361954016,2.06665852604308,7.2360192473313,0.54085137038655,0.894174677483408,0.161920293824217,8,0.761853240969385,0.0206699008436752,0.00264454505871424,0.000103233936410007,1.47519696390573,0.02455,0.016469387755102,3,0.0918367346938776,3.03,2.24962,26,16,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf sparoides","Abudefduf_sparoides",0.495555948085896,0.102393739706232,36.1079950460189,0.557677731206195,9.81894663137705,0.158552669242582,4.57595534890102,0.147983098871779,38.6368361954016,2.06665852604308,7.2360192473313,0.54085137038655,0.894174677483408,0.161920293824217,8,0.761853240969385,0.0206699008436752,0.0028540172209732,0.000103233936410007,1.47519696390573,0.02455,0.016469387755102,3,0.0918367346938776,3.03,2.24962,27,16,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf sparoides","Abudefduf_sparoides",0.506419794925523,0.105137646544168,36.1079950460189,0.557677731206195,9.81894663137705,0.158552669242582,4.57595534890102,0.147983098871779,38.6368361954016,2.06665852604308,7.2360192473313,0.54085137038655,0.894174677483408,0.161920293824217,8,0.761853240969385,0.0206699008436752,0.00307852260006619,0.000103233936410007,1.47519696390573,0.02455,0.016469387755102,3,0.0918367346938776,3.03,2.24962,28,16,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf troschelii","Abudefduf_troschelii",0.357966896573912,0.0590045966721007,34.9431586966783,0.425392648205357,9.42156656853709,0.121210254851518,5.02373756022468,0.111413374028071,38.6640919722451,1.86795141768247,7.2497354847798,0.490963393980769,0.914450957189602,0.147020647761364,8,0.761853240969385,0.0206699008436752,0.00209745511872733,0.000103233936410007,1.47519696390573,0.02455,0.016469387755102,3,0.0918367346938776,2.95,2.45235,23,20,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf troschelii","Abudefduf_troschelii",0.365602538283143,0.0594297840424985,34.9431586966783,0.425392648205357,9.42156656853709,0.121210254851518,5.02373756022468,0.111413374028071,38.6640919722451,1.86795141768247,7.2497354847798,0.490963393980769,0.914450957189602,0.147020647761364,8,0.761853240969385,0.0206699008436752,0.0022671031058435,0.000103233936410007,1.47519696390573,0.02455,0.016469387755102,3,0.0918367346938776,2.95,2.45235,24,20,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf troschelii","Abudefduf_troschelii",0.373460896599761,0.0602171101732252,34.9431586966783,0.425392648205357,9.42156656853709,0.121210254851518,5.02373756022468,0.111413374028071,38.6640919722451,1.86795141768247,7.2497354847798,0.490963393980769,0.914450957189602,0.147020647761364,8,0.761853240969385,0.0206699008436752,0.00244919452144219,0.000103233936410007,1.47519696390573,0.02455,0.016469387755102,3,0.0918367346938776,2.95,2.45235,25,20,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf troschelii","Abudefduf_troschelii",0.381549450935269,0.0614010130164562,34.9431586966783,0.425392648205357,9.42156656853709,0.121210254851518,5.02373756022468,0.111413374028071,38.6640919722451,1.86795141768247,7.2497354847798,0.490963393980769,0.914450957189602,0.147020647761364,8,0.761853240969385,0.0206699008436752,0.00264454505871424,0.000103233936410007,1.47519696390573,0.02455,0.016469387755102,3,0.0918367346938776,2.95,2.45235,26,20,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf troschelii","Abudefduf_troschelii",0.389875962459304,0.0630116251774885,34.9431586966783,0.425392648205357,9.42156656853709,0.121210254851518,5.02373756022468,0.111413374028071,38.6640919722451,1.86795141768247,7.2497354847798,0.490963393980769,0.914450957189602,0.147020647761364,8,0.761853240969385,0.0206699008436752,0.0028540172209732,0.000103233936410007,1.47519696390573,0.02455,0.016469387755102,3,0.0918367346938776,2.95,2.45235,27,20,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf troschelii","Abudefduf_troschelii",0.398448485704502,0.0650738303080568,34.9431586966783,0.425392648205357,9.42156656853709,0.121210254851518,5.02373756022468,0.111413374028071,38.6640919722451,1.86795141768247,7.2497354847798,0.490963393980769,0.914450957189602,0.147020647761364,8,0.761853240969385,0.0206699008436752,0.00307852260006619,0.000103233936410007,1.47519696390573,0.02455,0.016469387755102,3,0.0918367346938776,2.95,2.45235,28,20,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf troschelii","Abudefduf_troschelii",0.40727538068673,0.0676068798255456,34.9431586966783,0.425392648205357,9.42156656853709,0.121210254851518,5.02373756022468,0.111413374028071,38.6640919722451,1.86795141768247,7.2497354847798,0.490963393980769,0.914450957189602,0.147020647761364,8,0.761853240969385,0.0206699008436752,0.00331902424380386,0.000103233936410007,1.47519696390573,0.02455,0.016469387755102,3,0.0918367346938776,2.95,2.45235,29,20,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf vaigiensis","Abudefduf_vaigiensis",0.358619775542927,0.0667707304178291,35.3523068635364,0.479868118832584,9.60049252829862,0.136779824480953,4.84766465668845,0.125253215249426,38.8636942392631,2.01138761784182,7.3324710161028,0.529224698529704,0.91334795103683,0.158267945836276,8,0.761853240969385,0.0206699008436752,0.00179244764095022,0.000103233936410007,1.47519696390573,0.0263,0.00995918367346939,3.01,0.0714285714285715,2.905,2.12681444444444,21,20,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf vaigiensis","Abudefduf_vaigiensis",0.381860592390341,0.0676114619602117,35.3523068635364,0.479868118832584,9.60049252829862,0.136779824480953,4.84766465668845,0.125253215249426,38.8636942392631,2.01138761784182,7.3324710161028,0.529224698529704,0.91334795103683,0.158267945836276,8,0.761853240969385,0.0206699008436752,0.0022671031058435,0.000103233936410007,1.47519696390573,0.0263,0.00995918367346939,3.01,0.0714285714285715,2.905,2.12681444444444,24,20,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
"Pomacentridae","Abudefduf vaigiensis","Abudefduf_vaigiensis",0.39006218353472,0.0685512412491676,35.3523068635364,0.479868118832584,9.60049252829862,0.136779824480953,4.84766465668845,0.125253215249426,38.8636942392631,2.01138761784182,7.3324710161028,0.529224698529704,0.91334795103683,0.158267945836276,8,0.761853240969385,0.0206699008436752,0.00244919452144219,0.000103233936410007,1.47519696390573,0.0263,0.00995918367346939,3.01,0.0714285714285715,2.905,2.12681444444444,25,20,0.0037,0.0046,0.00037,0.00051,0.8,0.8,0.7
