response,term,Estimate,l-95% CI,u-95% CI,type
log(production),sigma,0.2247,0.2213,0.2281,_
log(herbivory),sigma,0.4231,0.4167,0.4298,_
log(piscivory),sigma,0.641,0.6277,0.6546,_
_,"rescor(Fnst,Fpst)",0.0471,0.0271,0.0678,_
_,"rescor(Fnst,Gcst)",0.3248,0.3054,0.3435,_
_,"rescor(Fpst,Gcst)",-0.376,-0.3935,-0.3574,_
_,"rescor(Fnst,Iherbst)",-0.0382,-0.0594,-0.0161,_
_,"rescor(Fpst,Iherbst)",-0.3887,-0.4062,-0.3706,_
_,"rescor(Gcst,Iherbst)",0.1583,0.137,0.181,_
_,"rescor(Fnst,Ipiscst)",-0.0054,-0.0387,0.0271,_
_,"rescor(Fpst,Ipiscst)",0.143,0.1099,0.1737,_
_,"rescor(Gcst,Ipiscst)",0.0185,-0.011,0.0484,_
_,"rescor(Iherbst,Ipiscst)",-0.116,-0.1477,-0.0857,_
_,sd(Fnst_Intercept),0.0631,0.052,0.0752,random locality
_,sd(Fpst_Intercept),0.048,0.0373,0.0606,random locality
_,sd(Gcst_Intercept),0.108,0.0867,0.1312,random locality
_,sd(Iherbst_Intercept),0.2674,0.21560000000000001,0.3255,random locality
_,sd(Ipiscst_Intercept),0.3517,0.2891,0.423,random locality
_,"cor(Fnst_Intercept,Fpst_Intercept)",-0.2065,-0.4762,0.0911,random locality
_,"cor(Fnst_Intercept,Gcst_Intercept)",0.6513,0.4648,0.788,random locality
_,"cor(Fpst_Intercept,Gcst_Intercept)",-0.405,-0.6368,-0.1161,random locality
_,"cor(Fnst_Intercept,Iherbst_Intercept)",0.5162,0.2652,0.7116,random locality
_,"cor(Fpst_Intercept,Iherbst_Intercept)",-0.2112,-0.4766,0.0944,random locality
_,"cor(Gcst_Intercept,Iherbst_Intercept)",0.3833,0.1211,0.613,random locality
_,"cor(Fnst_Intercept,Ipiscst_Intercept)",-0.0058,-0.2486,0.2558,random locality
_,"cor(Fpst_Intercept,Ipiscst_Intercept)",0.1602,-0.1134,0.4276,random locality
_,"cor(Gcst_Intercept,Ipiscst_Intercept)",-0.0512,-0.3023,0.2091,random locality
_,"cor(Iherbst_Intercept,Ipiscst_Intercept)",0.0629,-0.2243,0.3436,random locality
_,sd(Fnst_Intercept),0.0305,0.0267,0.0345,random sites
_,sd(Fpst_Intercept),0.043,0.0373,0.0489,random sites
_,sd(Gcst_Intercept),0.0531,0.044,0.0625,random sites
_,sd(Iherbst_Intercept),0.1959,0.1722,0.2205,random sites
_,sd(Ipiscst_Intercept),0.1621,0.1221,0.2024,random sites
_,"cor(Fnst_Intercept,Fpst_Intercept)",0.3663,0.2103,0.5124,random sites
_,"cor(Fnst_Intercept,Gcst_Intercept)",0.4368,0.2611,0.595,random sites
_,"cor(Fpst_Intercept,Gcst_Intercept)",-0.1643,-0.3676,0.0528,random sites
_,"cor(Fnst_Intercept,Iherbst_Intercept)",-0.1768,-0.3399,-0.0091,random sites
_,"cor(Fpst_Intercept,Iherbst_Intercept)",-0.5842,-0.7,-0.451,random sites
_,"cor(Gcst_Intercept,Iherbst_Intercept)",0.0495,-0.1758,0.2528,random sites
_,"cor(Fnst_Intercept,Ipiscst_Intercept)",0.0708,-0.1972,0.334,random sites
_,"cor(Fpst_Intercept,Ipiscst_Intercept)",0.1457,-0.1105,0.3915,random sites
_,"cor(Gcst_Intercept,Ipiscst_Intercept)",-0.1152,-0.4044,0.1937,random sites
_,"cor(Iherbst_Intercept,Ipiscst_Intercept)",-0.4538,-0.662,-0.2352,random sites
